epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.888,1.43718,1.68601,1.24068,0.85794,0.69055,0.77399,0.47059,1.31746,1.04914,1.1097,0.00332935,0.00332935,0.00332935
2,334.857,1.33113,1.0497,1.12484,0.86979,0.70599,0.78963,0.48739,1.31189,0.87844,1.13119,0.00666106,0.00666106,0.00666106
3,439.962,1.36889,1.00083,1.15207,0.85794,0.68725,0.77476,0.47836,1.33255,0.89241,1.14618,0.00998625,0.00998625,0.00998625
4,545.859,1.37202,0.96754,1.167,0.86822,0.65188,0.75014,0.46426,1.35098,0.91204,1.19233,0.00997803,0.00997803,0.00997803
5,644.201,1.3373,0.90356,1.14927,0.87508,0.71619,0.80056,0.50102,1.30383,0.78516,1.14222,0.00996097,0.00996097,0.00996097
6,746.131,1.31013,0.8594,1.13611,0.88162,0.73561,0.81682,0.5189,1.26885,0.73674,1.11927,0.00993906,0.00993906,0.00993906
7,848.721,1.29593,0.83258,1.12558,0.8806,0.73609,0.82094,0.52128,1.27335,0.73966,1.12226,0.00991232,0.00991232,0.00991232
8,955.032,1.27892,0.80726,1.1254,0.87158,0.74667,0.82899,0.53121,1.24612,0.71384,1.10645,0.00988079,0.00988079,0.00988079
9,1057.95,1.27204,0.79968,1.11691,0.88299,0.75085,0.83369,0.53922,1.23319,0.69328,1.10689,0.00984449,0.00984449,0.00984449
10,1160.11,1.26803,0.78811,1.11718,0.87797,0.76002,0.83802,0.54456,1.22303,0.66979,1.10145,0.00980345,0.00980345,0.00980345
11,1268.07,1.25708,0.76956,1.11311,0.88545,0.75765,0.84052,0.54416,1.23516,0.66904,1.12218,0.00975773,0.00975773,0.00975773
12,1367.37,1.24388,0.75573,1.09985,0.88371,0.76519,0.84449,0.54747,1.21906,0.66369,1.09793,0.00970736,0.00970736,0.00970736
13,1465.78,1.24822,0.75402,1.10245,0.88165,0.7694,0.84948,0.5549,1.20583,0.63855,1.09188,0.00965239,0.00965239,0.00965239
14,1567.58,1.23625,0.7421,1.10147,0.88412,0.77211,0.85386,0.55547,1.20393,0.63203,1.08407,0.00959289,0.00959289,0.00959289
15,1667.04,1.22695,0.73644,1.09573,0.89186,0.77474,0.85518,0.55935,1.19837,0.62611,1.08449,0.00952889,0.00952889,0.00952889
16,1773.83,1.22984,0.72998,1.09474,0.89256,0.77823,0.85991,0.56134,1.19841,0.61956,1.07629,0.00946048,0.00946048,0.00946048
17,1881.43,1.22262,0.7256,1.09467,0.89153,0.7791,0.85897,0.56206,1.20299,0.619,1.0827,0.00938772,0.00938772,0.00938772
18,1981.63,1.21738,0.7123,1.09005,0.89952,0.77716,0.86119,0.56796,1.1896,0.60617,1.07503,0.00931067,0.00931067,0.00931067
