epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.046,0.53296,1.33635,1.07138,0.63876,0.54828,0.62034,0.38539,1.2339,1.94884,1.75459,0.00332939,0.00332939,0.00332939
2,379.128,0.44743,0.6668,0.98319,0.75048,0.57691,0.68668,0.41629,1.33962,1.47776,1.99907,0.00666109,0.00666109,0.00666109
3,520.673,0.49136,0.63077,1.00325,0.63587,0.63895,0.63051,0.33425,1.38272,1.61941,2.2296,0.00998629,0.00998629,0.00998629
4,664.239,0.46698,0.57939,0.99814,0.63653,0.62516,0.62287,0.3575,1.41189,1.40519,2.13578,0.00997803,0.00997803,0.00997803
5,804.444,0.43068,0.51947,0.98137,0.82969,0.46619,0.58907,0.36537,1.55363,1.52381,2.15499,0.00996097,0.00996097,0.00996097
6,943.712,0.4068,0.48744,0.97117,0.72539,0.50397,0.61885,0.39721,1.48141,1.34466,2.21098,0.00993906,0.00993906,0.00993906
7,1082.45,0.38784,0.46853,0.96454,0.78064,0.60377,0.71842,0.43533,1.4394,1.13031,2.07051,0.00991232,0.00991232,0.00991232
8,1224.97,0.37674,0.45643,0.96226,0.78801,0.55922,0.69861,0.43195,1.3506,1.13131,2.02755,0.00988079,0.00988079,0.00988079
9,1364.2,0.36724,0.43956,0.95559,0.78558,0.60171,0.72052,0.44453,1.45231,1.18774,2.03394,0.00984449,0.00984449,0.00984449
10,1495.99,0.36055,0.43048,0.95085,0.80814,0.47524,0.54353,0.35353,1.8065,1.7043,2.46169,0.00980345,0.00980345,0.00980345
11,1639.9,0.35331,0.4252,0.95189,0.85118,0.51149,0.62843,0.41368,1.50427,1.26299,2.12511,0.00975773,0.00975773,0.00975773
12,1770.04,0.34897,0.42139,0.94921,0.80903,0.52027,0.62315,0.40553,1.60766,1.58581,2.1955,0.00970736,0.00970736,0.00970736
13,1906.16,0.34279,0.41439,0.94493,0.82052,0.65399,0.75214,0.46557,1.41512,1.04743,2.26818,0.00965239,0.00965239,0.00965239
14,2041.56,0.33349,0.39973,0.94155,0.81616,0.50773,0.65178,0.42653,1.44286,1.28106,2.04049,0.00959289,0.00959289,0.00959289
15,2176.28,0.33357,0.39904,0.93974,0.76817,0.52894,0.64749,0.41927,1.48255,1.2634,2.00629,0.00952889,0.00952889,0.00952889
16,2316.34,0.33395,0.39333,0.94219,0.82948,0.58337,0.73166,0.48019,1.3856,1.077,1.9901,0.00946048,0.00946048,0.00946048
17,2453.31,0.32645,0.38567,0.93975,0.80496,0.52259,0.65818,0.41442,1.45274,1.31259,2.04758,0.00938772,0.00938772,0.00938772
18,2587.97,0.32505,0.38657,0.93772,0.84595,0.46302,0.5991,0.39388,1.52327,1.43814,2.01441,0.00931067,0.00931067,0.00931067
19,2724.89,0.31906,0.38097,0.93541,0.84271,0.55537,0.6609,0.43456,1.5326,1.24528,1.98498,0.00922942,0.00922942,0.00922942
20,2861.16,0.31942,0.37902,0.93631,0.81453,0.72169,0.83225,0.54379,1.20248,0.89528,1.82415,0.00914405,0.00914405,0.00914405
21,3000.99,0.31615,0.37013,0.93611,0.81742,0.64733,0.75582,0.49444,1.37646,1.05849,2.01093,0.00905463,0.00905463,0.00905463
22,3137.69,0.31484,0.37524,0.93519,0.86079,0.5537,0.67577,0.44832,1.42711,1.24107,1.99294,0.00896127,0.00896127,0.00896127
23,3268.61,0.31388,0.36823,0.93269,0.81587,0.6005,0.74779,0.48794,1.37689,1.02156,1.87733,0.00886404,0.00886404,0.00886404
24,3400.21,0.30897,0.36692,0.93163,0.7993,0.54074,0.66795,0.44703,1.41947,1.31465,1.8685,0.00876305,0.00876305,0.00876305
25,3535.28,0.30739,0.36185,0.93051,0.82501,0.6331,0.76353,0.47486,1.3979,1.09512,2.02232,0.00865839,0.00865839,0.00865839
26,3670.71,0.30674,0.36397,0.93026,0.80016,0.65589,0.77032,0.49482,1.31611,1.04235,1.89892,0.00855018,0.00855018,0.00855018
27,3807.51,0.30241,0.35779,0.92831,0.83919,0.6565,0.7935,0.51401,1.28776,0.98587,1.86926,0.00843851,0.00843851,0.00843851
28,3943.24,0.30394,0.35744,0.92953,0.78922,0.54242,0.67922,0.43763,1.42959,1.30085,1.9669,0.00832349,0.00832349,0.00832349
29,4080.08,0.30236,0.35646,0.92984,0.80376,0.59005,0.7489,0.48114,1.32147,1.06582,1.86171,0.00820525,0.00820525,0.00820525
30,4217.08,0.30022,0.35161,0.92831,0.82549,0.67865,0.79686,0.51556,1.2615,0.99474,1.83203,0.00808389,0.00808389,0.00808389
31,4350.4,0.29704,0.35072,0.92657,0.73888,0.62432,0.74057,0.47738,1.34971,1.09959,1.84293,0.00795954,0.00795954,0.00795954
32,4485.42,0.29625,0.34722,0.92512,0.84882,0.59632,0.74923,0.48962,1.32937,1.07895,1.83666,0.00783231,0.00783231,0.00783231
33,4619.2,0.2948,0.34518,0.92424,0.79655,0.64465,0.76333,0.51026,1.24643,1.07408,1.80453,0.00770234,0.00770234,0.00770234
34,4752.13,0.29545,0.34373,0.92632,0.82162,0.71626,0.81588,0.52835,1.22465,0.94962,1.79838,0.00756976,0.00756976,0.00756976
35,4885.24,0.29385,0.34437,0.92571,0.77648,0.71751,0.8064,0.53156,1.19442,0.93387,1.76203,0.00743468,0.00743468,0.00743468
36,5018.19,0.29093,0.33997,0.92269,0.76985,0.67935,0.7791,0.51401,1.18417,1.01701,1.76061,0.00729725,0.00729725,0.00729725
37,5150.86,0.29049,0.34134,0.92236,0.75947,0.69912,0.79066,0.52612,1.20166,0.95496,1.77139,0.00715761,0.00715761,0.00715761
38,5283,0.28892,0.33808,0.92246,0.84639,0.69035,0.81848,0.54727,1.16853,0.89913,1.75607,0.00701588,0.00701588,0.00701588
39,5416.67,0.28754,0.33468,0.92134,0.84264,0.65524,0.78724,0.52586,1.22456,0.94407,1.79213,0.00687222,0.00687222,0.00687222
40,5549.04,0.28537,0.33068,0.92161,0.83273,0.63245,0.77155,0.51516,1.24816,0.98561,1.82329,0.00672675,0.00672675,0.00672675
41,5684.54,0.28006,0.33093,0.921,0.82825,0.61061,0.75088,0.50197,1.28899,1.05923,1.83262,0.00657963,0.00657963,0.00657963
42,5818.22,0.28272,0.32818,0.91982,0.83884,0.6112,0.76228,0.51198,1.28809,1.0314,1.80238,0.00643101,0.00643101,0.00643101
43,5957.07,0.28086,0.3243,0.9206,0.83163,0.5888,0.73552,0.49239,1.3503,1.10045,1.84104,0.00628101,0.00628101,0.00628101
44,6094.27,0.27832,0.32172,0.92057,0.77288,0.65357,0.76503,0.50472,1.30627,1.0549,1.79783,0.00612981,0.00612981,0.00612981
45,6226.9,inf,0.33017,0.91818,0.74871,0.66235,0.75982,0.49774,1.30583,1.09513,1.78674,0.00597754,0.00597754,0.00597754
46,6368.18,0.27781,0.3254,0.91789,0.75397,0.68512,0.77953,0.51096,1.26349,1.0553,1.75519,0.00582435,0.00582435,0.00582435
47,6503.08,0.2747,0.32128,0.91611,0.77141,0.64814,0.76354,0.49727,1.30155,1.09035,1.79143,0.0056704,0.0056704,0.0056704
48,6633.13,0.27777,0.32248,0.91794,0.75407,0.63041,0.74412,0.48876,1.30775,1.12717,1.80886,0.00551584,0.00551584,0.00551584
49,6767.58,0.27298,0.32105,0.91561,0.77064,0.62903,0.75281,0.49681,1.28112,1.11025,1.79778,0.00536081,0.00536081,0.00536081
50,6902.1,0.27413,0.31494,0.91636,0.75287,0.61233,0.73297,0.48483,1.31933,1.14223,1.84233,0.00520548,0.00520548,0.00520548
51,7044.19,0.27043,0.31304,0.91608,0.75944,0.58796,0.71942,0.47727,1.34391,1.15903,1.88101,0.00505,0.00505,0.00505
52,7178.23,0.26955,0.31443,0.91532,0.73974,0.58796,0.705,0.4694,1.37595,1.19053,1.92023,0.00489452,0.00489452,0.00489452
53,7307.2,0.27052,0.31314,0.91269,0.73203,0.60008,0.70925,0.47349,1.36883,1.1679,1.90871,0.00473919,0.00473919,0.00473919
54,7443.37,0.26858,0.31093,0.91491,0.72656,0.59738,0.70961,0.47312,1.35638,1.15992,1.8943,0.00458416,0.00458416,0.00458416
55,7579.62,0.26515,0.30557,0.91219,0.73084,0.59632,0.71126,0.47533,1.34555,1.14728,1.88544,0.0044296,0.0044296,0.0044296
56,7712.05,0.26084,0.30433,0.91111,0.72965,0.60092,0.71702,0.47864,1.33681,1.13725,1.87712,0.00427565,0.00427565,0.00427565
57,7845.07,0.26497,0.30776,0.91499,0.73469,0.59925,0.71829,0.48029,1.33647,1.13475,1.87719,0.00412246,0.00412246,0.00412246
58,7983.27,0.26178,0.29874,0.91351,0.72983,0.6051,0.72326,0.48323,1.33557,1.12288,1.88009,0.00397019,0.00397019,0.00397019
59,8118.88,0.2591,0.30254,0.91134,0.7231,0.60928,0.72145,0.48263,1.34357,1.11881,1.8886,0.00381899,0.00381899,0.00381899
60,8256.63,0.25868,0.29786,0.91175,0.72406,0.61187,0.7241,0.48458,1.34773,1.10758,1.8914,0.00366899,0.00366899,0.00366899
61,8390.88,0.25729,0.29756,0.91022,0.7448,0.60125,0.72191,0.48357,1.34998,1.11584,1.89503,0.00352037,0.00352037,0.00352037
62,8529.16,0.25559,0.29332,0.9071,0.74353,0.59549,0.72372,0.48388,1.34782,1.11348,1.89156,0.00337325,0.00337325,0.00337325
63,8663.23,0.25443,0.29183,0.90644,0.74132,0.59716,0.72253,0.48136,1.35468,1.12125,1.89493,0.00322778,0.00322778,0.00322778
64,8801.44,0.25233,0.29205,0.90936,0.738,0.59632,0.71536,0.47596,1.36789,1.14218,1.90391,0.00308412,0.00308412,0.00308412
65,8937.63,0.25042,0.28953,0.90874,0.73704,0.59617,0.71485,0.47508,1.36905,1.14817,1.9015,0.00294239,0.00294239,0.00294239
66,9073.56,0.25133,0.28906,0.90601,0.73512,0.58567,0.70746,0.46975,1.38595,1.16932,1.9163,0.00280275,0.00280275,0.00280275
67,9208.18,0.25179,0.28939,0.90657,0.74513,0.57417,0.7056,0.46731,1.38799,1.17578,1.9163,0.00266532,0.00266532,0.00266532
68,9342.22,0.2481,0.28256,0.90521,0.74762,0.56791,0.70245,0.46476,1.39192,1.18742,1.91817,0.00253024,0.00253024,0.00253024
69,9479.21,inf,0.28142,0.90457,0.72548,0.57459,0.7005,0.46389,1.39612,1.19176,1.92167,0.00239766,0.00239766,0.00239766
70,9621.92,0.24537,0.27725,0.90438,0.72994,0.57292,0.69893,0.46262,1.39693,1.1945,1.92125,0.00226769,0.00226769,0.00226769
71,9760.35,0.2441,0.28049,0.90623,0.72982,0.56916,0.69836,0.46216,1.3971,1.19602,1.92075,0.00214046,0.00214046,0.00214046
72,9894.47,0.24602,0.2842,0.90576,0.77369,0.54432,0.69929,0.46326,1.39175,1.19189,1.91322,0.00201611,0.00201611,0.00201611
73,10029.1,0.2422,0.27483,0.90287,0.77032,0.54534,0.70284,0.46452,1.38664,1.18587,1.90707,0.00189475,0.00189475,0.00189475
74,10162,0.24282,0.27297,0.90429,0.76515,0.55077,0.70365,0.46533,1.38224,1.18253,1.90047,0.00177651,0.00177651,0.00177651
75,10302.3,0.23976,0.2761,0.90438,0.76355,0.55192,0.70358,0.46602,1.38171,1.18048,1.89646,0.00166149,0.00166149,0.00166149
76,10437.5,0.23896,0.27214,0.90291,0.76198,0.5537,0.70404,0.46598,1.3797,1.17858,1.89152,0.00154982,0.00154982,0.00154982
77,10575,0.23645,0.26834,0.9015,0.76683,0.55077,0.70418,0.46625,1.37847,1.17995,1.88874,0.00144161,0.00144161,0.00144161
78,10711.1,0.23543,0.26637,0.9006,0.75434,0.55453,0.70164,0.46488,1.38149,1.18043,1.89035,0.00133695,0.00133695,0.00133695
79,10847.7,0.23509,0.26613,0.89978,0.76273,0.55077,0.70267,0.46596,1.37956,1.17776,1.88829,0.00123596,0.00123596,0.00123596
80,10984.3,0.23505,0.26964,0.9023,0.76866,0.54534,0.69995,0.46429,1.38291,1.18183,1.8902,0.00113873,0.00113873,0.00113873
81,11120.5,inf,0.26466,0.90046,0.79483,0.53615,0.69948,0.46452,1.38197,1.1812,1.88792,0.00104537,0.00104537,0.00104537
82,11257.1,0.23228,0.26228,0.89984,0.80007,0.53364,0.69906,0.46569,1.37928,1.17906,1.88353,0.000955951,0.000955951,0.000955951
83,11394.2,0.23138,0.26361,0.90064,0.80095,0.53305,0.70031,0.46675,1.37702,1.17803,1.88058,0.000870577,0.000870577,0.000870577
84,11529.8,0.23216,0.26156,0.90021,0.80305,0.5299,0.69962,0.46589,1.37781,1.18039,1.8798,0.000789327,0.000789327,0.000789327
85,11669.7,0.22796,0.25746,0.89851,0.80711,0.52821,0.69744,0.465,1.38094,1.18333,1.88156,0.000712282,0.000712282,0.000712282
86,11803.7,0.23033,0.26054,0.89805,0.80989,0.52612,0.69564,0.4643,1.38326,1.18582,1.88177,0.000639518,0.000639518,0.000639518
87,11937.8,0.22804,0.25937,0.89819,0.81398,0.52528,0.69552,0.46447,1.38399,1.1859,1.88035,0.000571106,0.000571106,0.000571106
88,12077.3,0.22971,0.25552,0.89866,0.81966,0.52319,0.69558,0.46461,1.3842,1.18613,1.87828,0.000507115,0.000507115,0.000507115
89,12213.8,0.22641,0.25596,0.8981,0.82159,0.52194,0.69421,0.46395,1.38569,1.18763,1.87741,0.000447606,0.000447606,0.000447606
90,12350.5,0.22772,0.25645,0.89887,0.82815,0.51818,0.69408,0.46398,1.38691,1.18653,1.87606,0.00039264,0.00039264,0.00039264
91,12484.9,0.24357,0.21543,0.90277,0.82847,0.5211,0.69694,0.46585,1.3831,1.18025,1.87255,0.00034227,0.00034227,0.00034227
92,12623.4,0.24408,0.21318,0.90394,0.82848,0.51875,0.69706,0.46565,1.38425,1.17886,1.87266,0.000296546,0.000296546,0.000296546
93,12757.3,0.24208,0.21125,0.9021,0.82266,0.52534,0.69798,0.46547,1.38546,1.17699,1.87343,0.000255513,0.000255513,0.000255513
94,12892.4,0.24233,0.21044,0.90154,0.83653,0.51749,0.69769,0.4658,1.38816,1.17568,1.87465,0.000219212,0.000219212,0.000219212
95,13027.5,0.24203,0.20805,0.90163,0.79796,0.53489,0.69707,0.46574,1.39078,1.17397,1.87498,0.000187678,0.000187678,0.000187678
96,13162.9,0.24217,0.20715,0.90016,0.80409,0.53155,0.69632,0.46542,1.39498,1.17444,1.87712,0.000160943,0.000160943,0.000160943
97,13296.9,0.24054,0.20667,0.90037,0.8081,0.53319,0.69603,0.4652,1.39823,1.17431,1.87835,0.000139032,0.000139032,0.000139032
98,13428.8,inf,0.20578,0.90006,0.8022,0.53406,0.69431,0.4647,1.40351,1.17531,1.8815,0.000121968,0.000121968,0.000121968
99,13561.6,inf,0.20621,0.8998,0.80336,0.5328,0.69323,0.464,1.40851,1.17601,1.88428,0.000109768,0.000109768,0.000109768
100,13696.8,0.23942,0.20692,0.90153,0.8022,0.53239,0.69221,0.46418,1.41372,1.17654,1.88788,0.000102443,0.000102443,0.000102443
